Date,IBM Open,IBM Close,SPY Open,SPY Close,GS Open,GS Close
12/30/2005,81.85,82.2,124.8,124.51,127.15,127.71
12/29/2005,82.8,82.4,125.72,125.19,127.45,128.02
12/28/2005,83.1,83.04,125.74,125.75,128.3,127.98
12/27/2005,83.48,82.99,126.96,125.47,128.7,128.26
12/23/2005,84,83.48,126.78,126.76,127.95,128.11
12/22/2005,82.61,83.22,126.31,126.69,127.55,127.99
12/21/2005,82.46,83.12,126.22,126.03,126.35,127.31
12/20/2005,82.95,82.48,125.86,125.83,124.7,125.86
12/19/2005,83.23,82.76,126.73,125.71,127.3,125.13
12/16/2005,83.89,83.37,127.28,126.36,127.66,126.5
12/15/2005,82.88,83.53,127.84,127.44,128.25,128.3
12/14/2005,83.65,83.13,127.19,127.81,131.08,129.63
12/13/2005,84.5,83.71,126.42,127.31,128.8,131.64
12/12/2005,87.01,85.96,126.71,126.45,130.4,130.01
12/9/2005,86.8,86.97,126.16,126.33,129.15,129.66
12/8/2005,88.57,87.5,126.22,126,129.05,128.64
12/7/2005,89,88.72,126.77,126.08,130.68,129.89
12/6/2005,88.56,89.14,127.05,126.82,133.95,131.31
12/5/2005,88.4,88.43,126.7,126.58,130.75,133.05
12/2/2005,89,88.65,126.77,126.85,130.15,131.08
12/1/2005,89.15,89.21,126.02,126.69,130.5,130.28
11/30/2005,89.05,88.9,126.16,125.41,130.45,128.96
11/29/2005,89.18,89.1,126.65,126.09,132,130.45
11/28/2005,88.8,89.11,127.25,126.23,134.3,131.1
11/25/2005,88.95,88.8,126.98,127.13,134.2,134.12
11/23/2005,88.12,88.8,126.25,127.03,132.61,134.08
11/22/2005,86.88,87.99,125.56,126.3,131.8,132.6
11/21/2005,87.6,87.29,125.15,125.76,131.25,132.41
11/18/2005,88,87.77,125.06,125.13,131.9,131.58
11/17/2005,86.18,86.89,123.68,124.64,128,130.41
11/16/2005,85.45,86.54,123.37,123.49,128.35,128.18
11/15/2005,84.03,85.53,123.55,123.24,129.7,127.97
11/14/2005,84.25,84.36,123.79,123.69,130.32,129.24
11/11/2005,84.2,84.55,123.35,123.76,129.45,130
11/10/2005,82.7,83.99,122.34,123.34,128.15,130.09
11/9/2005,82.71,82.84,122.08,122.39,127.84,128.7
11/8/2005,83.41,83.15,121.93,122.23,128.35,127.52
11/7/2005,83.1,83.61,122.37,122.23,130.5,129.15
11/4/2005,82.91,83,122.4,122.11,129.75,130.96
11/3/2005,81.55,82.87,122.15,122.27,130,129.2
11/2/2005,81.2,81.06,120.17,121.75,126,129.13
11/1/2005,81.85,81.59,120.58,120.49,126.7,126.6
10/31/2005,81.51,81.88,120.29,120.13,125,126.37
10/28/2005,82.32,81.42,118.43,119.8,123.7,124.56
10/27/2005,82.53,82.31,119.2,118.1,123.8,122.43
10/26/2005,82.97,82.89,119.51,119.37,123.25,124.25
10/25/2005,83.08,83.36,119.72,119.72,122.52,123.55
10/24/2005,83.15,83.47,118.44,119.96,119.7,123.3
10/21/2005,83.08,83.33,118.29,118.13,119.8,118.77
10/20/2005,84,83.17,119.49,117.67,119.98,118.75
10/19/2005,82.41,84.17,117.5,119.78,116.25,121.2
10/18/2005,84.33,83.48,118.94,117.82,116.55,117.09
10/17/2005,82.36,82.59,118.8,119.11,115.99,117.05
10/14/2005,82.6,82.35,118.12,118.67,114.1,114.55
10/13/2005,81.7,82.2,117.46,117.43,115.2,113.18
10/12/2005,82.75,82.19,118.39,117.5,117.55,115.65
10/11/2005,82.25,83.19,118.99,118.43,119.2,117.55
10/10/2005,81.24,81.25,119.68,118.6,118,118.51
10/7/2005,80.25,80.5,119.7,119.61,117.25,117.57
10/6/2005,79.82,79.7,119.78,119.2,117.7,116.93
10/5/2005,80.11,79.82,121.25,119.63,118.92,117.75
10/4/2005,80.65,80.11,122.79,121.22,120.9,118.92
10/3/2005,80.22,80.45,122.96,122.6,121.29,121.65
9/30/2005,80.02,80.22,122.62,123.04,120.89,121.58
9/29/2005,79.25,80.36,121.55,122.66,119.1,121.22
9/28/2005,78.06,79.5,121.93,121.67,120.15,120.1
9/27/2005,77.17,77.99,121.52,121.55,119.7,119.67
9/26/2005,78.31,77.41,122.02,121.58,119.95,120
9/23/2005,77.7,78,121.24,121.44,118.79,119.47
9/22/2005,77.56,78.21,120.95,121.34,115.68,118.5
9/21/2005,78,77.56,121.79,120.91,116.13,115.68
9/20/2005,79.27,78.7,123.2,122.05,120.39,118.05
9/19/2005,79.74,79.43,123.47,123.09,118.1,118.28
9/16/2005,80.38,80.33,123.3,123.5,116.5,118.4
9/15/2005,80.43,80.01,123.59,123.15,115,115.95
9/14/2005,80.75,80.48,123.74,123.21,117.75,115.9
9/13/2005,81.49,80.75,124.13,123.66,117.75,117.2
9/12/2005,81.03,81.48,124.45,124.35,116.71,118
9/9/2005,80.86,81.44,123.83,124.6,115.5,116.17
9/8/2005,81.28,80.8,123.66,123.5,114.73,115.16
9/7/2005,80.7,80.98,123.63,123.91,114.59,114.91
9/6/2005,79.7,81.02,122.66,123.7,113.79,114.59
9/2/2005,79.5,79.46,122.85,122.27,113.3,113.21
9/1/2005,80.16,79.54,122.52,122.49,111.7,113.12
8/31/2005,80.35,80.62,121.19,122.58,109.84,111.18
8/30/2005,81,80.54,121.25,121.05,109.9,109.84
8/29/2005,80,81.34,120.41,121.69,109.5,110.15
8/26/2005,80.81,80.38,121.48,120.76,110.5,109.75
8/25/2005,81.45,81.1,121.35,121.59,110.24,110.5
8/24/2005,81.53,81.32,121.94,121.15,111.79,109.99
8/23/2005,82.7,82.03,122.5,122.24,111.5,111.8
8/22/2005,82.75,82.6,122.58,122.47,111.8,111.7
8/19/2005,81.36,82.76,122.63,122.47,111.12,111.27
8/18/2005,81.1,81.15,122.05,122.19,110.89,110.85
8/17/2005,81.4,81.3,122.19,122.2,111.85,111.13
8/16/2005,82.07,81.3,123.44,122.21,114.55,112.08
8/15/2005,81.9,82.5,123.22,123.82,113.25,114.67
8/12/2005,82.15,82.19,123.57,123.06,113.18,113.65
8/11/2005,81.93,82.66,123.27,123.82,112.08,114.14
8/10/2005,83.65,82.02,123.82,123.33,111.98,112.03
8/9/2005,83.4,83.5,123.06,123.39,110.03,111.48
8/8/2005,83.41,83.36,123.15,122.65,110.03,109.91
8/5/2005,82.75,83.36,123.45,122.88,108.75,109.7
